Transect,Position,Habitat Type,Season,Main Cover,Cardiocondyla mauritanica,Cremaogaster hespera,Dorymyrmex insanus,Formica francoeuri,Forelius pruinosus,Hypoponera opaciceps,Liometopum occidentale,Linepithema humile,Monomorium ergatogyna,Pheidole hyatti,Pogonomyrmex californicus,Solenopsis molesta,Solenopsis validiuscula,Solenopsis xyloni,Stenamma punctatoventre,Tapinoma sessile,Temnothorax andrei,Temnothorax nitens,Main Cover,Litter,Soil,Live Veg,Mulch,canopy cover,soil moisture,percent clay,percent sand,Litter/Bare Ground,Acmispon glaber,Adenostoma fasciculatum,Ambrosia psilostachya,Artemisia californica,Artemisia douglasiana,Arundo donax,Astragalus trichopodus,Atriplex lentiformis,Baccharis pilularis,Baccharis salicifolia,Bromus madritensis ssp. rubens,Carduus pycnocephalus,Chenopodium album,Curcubita foetidissima,Datura wrightii,Digitaria ciliaris,Elymus condensatus,Elymus glaucus,Elymus triticoides,Erigeron canadensis,Eriodictyon crassifolium,Eschscholzia californica,Euthamia occidentalis,Heliotropium curassavicum ,Heteromeles arbutifolia,Hirschfeldia incana,Juglans californica,Lactuca serriola,Linnacea coulteri,Malva parviflora,Nicotiana glauca,Populous trichocarpa,Quercus agrifolia,RICCOM,Rubus ursinus,Salix laevigata,Salix lasiolepis,Salix exigua,Salsola tragus,Salvia apiana,Salvia mellifera,Sambucus nigra,Sisyimbrium irio,Tamarix ramosissima,Toxicodendron diversilobum,Urtica dioica,Total native Cover,Total Non-native Cover
AGR1,AG1A,Watercress,Summer,Veg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Veg,4,19,77,0,4.58,0.492393621,1.72,93.28,100,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,200,400
AGR1,AG1B,Watercress,Summer,Veg,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Veg,0,10.66666667,89.33333333,0,1.2,-0.333420502,1.72,99.28,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,200,0,0,0,300,0,0,0,0,900
AGR1,AG1C,Watercress,Summer,Soil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soil,24,53.33333333,22.66666667,0,0.16,20.51864471,5.72,83.28,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,300
AGR1,AG1E,Watercress,Summer,Veg,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Veg,5.333333333,8.666666667,87.33333333,0,1.72,0.34529269,1.72,91.28,200,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,200,0,0,0,0,600
AR4,AR4A,Arundo,Summer,Mulch,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,Mulch,33,4.666666667,0.666666667,61.66666667,99.74,23.69399023,10,6,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365
AR4,AR4B,Arundo,Summer,Mulch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mulch,0.666666667,0,1.333333333,98.66666667,96.62,27.68610538,8,22,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AR4,AR4C,Arundo,Summer,Litter,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,Litter,68.66666667,2.333333333,6.333333333,22.66666667,87,26.98466017,12,2,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AR4,AR4E,Arundo,Summer,Mulch,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,Mulch,0,0.333333333,6,94,98.7,13.43113697,0,88,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AR5,AR5C,Arundo,Summer,Mulch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mulch,3,0,0,97,100,34.09023887,8,59,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AR5,AR5D,Arundo,Summer,Mulch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mulch,5,0.333333333,0.666666667,94,98.18,30.30199915,5,54,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
